id,from,to,time,accel
1423537428987,2015-09-02 22:03:00,2015-10-02 07:29:00,2015-09-02 22:19:00,0.8863061,1702.189
1423537428987,2015-09-02 22:03:00,2015-10-02 07:29:00,2015-09-02 22:19:00,0.5554797,411.97107
1423537428987,2015-09-02 22:03:00,2015-10-02 07:29:00,2015-09-02 22:19:00,0.18618633,487.76422
1423537428987,2015-09-02 22:03:00,2015-10-02 07:29:00,2015-09-02 22:20:00,0.18618555,659.03735
1423537428987,2015-09-02 22:03:00,2015-10-02 07:29:00,2015-09-02 22:20:00,0.44469208,539.6772
1423537428987,2015-09-02 22:03:00,2015-10-02 07:29:00,2015-09-02 22:20:00,0.3939138,None
1423537428987,2015-09-02 22:03:00,2015-10-02 07:29:00,2015-09-02 22:20:00,0.44469175,None
1423537428987,2015-09-02 22:03:00,2015-10-02 07:29:00,2015-09-02 22:20:00,0.1538723,None
1423537428987,2015-09-02 22:03:00,2015-10-02 07:29:00,2015-09-02 22:20:00,0.2215771,None
1423537428987,2015-09-02 22:03:00,2015-10-02 07:29:00,2015-09-02 22:21:00,0.15387304,None
1423537428987,2015-09-02 22:03:00,2015-10-02 07:29:00,2015-09-02 22:21:00,0.44469166,None
1423537428987,2015-09-02 22:03:00,2015-10-02 07:29:00,2015-09-02 22:21:00,0.6785777,None
1423537428987,2015-09-02 22:03:00,2015-10-02 07:29:00,2015-09-02 22:21:00,0.55548,None
1423537428987,2015-09-02 22:03:00,2015-10-02 07:29:00,2015-09-02 22:21:00,0.39391372,None
1423537428987,2015-09-02 22:03:00,2015-10-02 07:29:00,2015-09-02 22:21:00,0.55548,None
1423537428987,2015-09-02 22:03:00,2015-10-02 07:29:00,2015-09-02 22:22:00,0.88630545,None
1423537428987,2015-09-02 22:03:00,2015-10-02 07:29:00,2015-09-02 22:22:00,0.393915,None
1423537428987,2015-09-02 22:03:00,2015-10-02 07:29:00,2015-09-02 22:22:00,0.49854705,None
1423537428987,2015-09-02 22:03:00,2015-10-02 07:29:00,2015-09-02 22:22:00,0.6785777,None
1423537428987,2015-09-02 22:03:00,2015-10-02 07:29:00,2015-09-02 22:22:00,0.74474293,None
1423537428987,2015-09-02 22:03:00,2015-10-02 07:29:00,2015-09-02 22:22:00,0.22157636,None
1423537428987,2015-09-02 22:03:00,2015-10-02 07:29:00,2015-09-02 22:23:00,0.67857784,None
1423537428987,2015-09-02 22:03:00,2015-10-02 07:29:00,2015-09-02 22:23:00,0.6154902,None
1423537428987,2015-09-02 22:03:00,2015-10-02 07:29:00,2015-09-02 22:23:00,0.18618558,None
1423537428987,2015-09-02 22:03:00,2015-10-02 07:29:00,2015-09-02 22:23:00,0.6154901,None
1423537428987,2015-09-02 22:03:00,2015-10-02 07:29:00,2015-09-02 22:23:00,0.49854705,None
1423537428987,2015-09-02 22:03:00,2015-10-02 07:29:00,2015-09-02 22:23:00,0.5554802,None
1423537428987,2015-09-02 22:03:00,2015-10-02 07:29:00,2015-09-02 22:24:00,0.22157624,None
1423537428987,2015-09-02 22:03:00,2015-10-02 07:29:00,2015-09-02 22:24:00,0.49854705,None
1423537428987,2015-09-02 22:03:00,2015-10-02 07:29:00,2015-09-02 22:24:00,0.8139872,None
1423537428987,2015-09-02 22:03:00,2015-10-02 07:29:00,2015-09-02 22:24:00,0.12463735,None
1423537428987,2015-09-02 22:03:00,2015-10-02 07:29:00,2015-09-02 22:24:00,0.15387242,None
1423537428987,2015-09-02 22:03:00,2015-10-02 07:29:00,2015-09-02 22:24:00,0.67857796,None
1423537428987,2015-09-02 22:03:00,2015-10-02 07:29:00,2015-09-02 22:25:00,0.49854714,None
1423537428987,2015-09-02 22:03:00,2015-10-02 07:29:00,2015-09-02 22:25:00,0.6154901,None
1423537428987,2015-09-02 22:03:00,2015-10-02 07:29:00,2015-09-02 22:25:00,0.81398547,None
1423537428987,2015-09-02 22:03:00,2015-10-02 07:29:00,2015-09-02 22:25:00,0.6154901,None
1423537428987,2015-09-02 22:03:00,2015-10-02 07:29:00,2015-09-02 22:25:00,0.39391387,None
