datetime,time,noise,duringSleep
2013-05-02 02:16:31,1367475391,1172.93162393,True
2013-05-02 02:18:31,1367475511,1163.88034188,True
2013-05-02 02:20:31,1367475631,1296.30769231,True
2013-05-02 02:22:31,1367475751,1287.67521368,True
2013-05-02 02:24:31,1367475871,1153.5982906,True
2013-05-02 02:26:31,1367475991,1134.5042735,True
2013-05-02 02:28:31,1367476111,1154.56410256,True
2013-05-02 02:30:31,1367476231,1175.74358974,True
2013-05-02 02:32:31,1367476351,1161.99145299,True
2013-05-02 02:34:31,1367476471,1167.03418803,True
2013-05-02 02:36:31,1367476591,1145.75213675,True
2013-05-02 02:38:31,1367476711,1160.37606838,True
2013-05-02 02:40:31,1367476831,1067.96581197,True
2013-05-02 02:42:31,1367476951,1309.14529915,True
2013-05-02 02:44:31,1367477071,214.64957265,True
2013-05-02 02:46:31,1367477191,822.547008547,True
2013-05-02 02:48:31,1367477311,1186.72649573,True
2013-05-02 02:50:31,1367477431,1345.60683761,True
2013-05-02 02:52:31,1367477551,1431.88888889,True
2013-05-02 02:54:31,1367477671,1230.28205128,True
2013-05-02 02:56:31,1367477791,1138.12820513,True
2013-05-02 02:58:31,1367477911,1262.68376068,True
2013-05-02 03:00:31,1367478031,1223.55555556,True
2013-05-02 03:02:31,1367478151,1266.2991453,True
2013-05-02 03:04:31,1367478271,1137.71794872,True
2013-05-02 03:06:31,1367478391,1177.88888889,True
2013-05-02 03:08:31,1367478511,849.923076923,True
2013-05-02 03:10:31,1367478631,1175.07692308,True
2013-05-02 03:12:31,1367478751,256.692307692,True
2013-05-02 03:14:31,1367478871,1232.35897436,True
2013-05-02 03:16:31,1367478991,1374.11965812,True
2013-05-02 03:18:31,1367479111,1159.00854701,True
2013-05-02 03:20:31,1367479231,1251.02564103,True
2013-05-02 03:22:31,1367479351,1224.22222222,True
2013-05-02 03:24:31,1367479471,571.256410256,True
2013-05-02 03:26:31,1367479591,876.735042735,True
2013-05-02 03:28:31,1367479711,1177.42735043,True
2013-05-02 03:30:31,1367479831,1170.2991453,True
2013-05-02 03:32:31,1367479951,1205.94871795,True
2013-05-02 03:34:31,1367480071,1135.11965812,True
2013-05-02 03:36:31,1367480191,1476.14529915,True
2013-05-02 03:38:31,1367480311,1172.39316239,True
2013-05-02 03:40:31,1367480431,1151.55555556,True
2013-05-02 03:42:31,1367480551,1182.5042735,True
2013-05-02 03:44:31,1367480671,1218.5982906,True
2013-05-02 03:46:31,1367480791,1210.1025641,True
2013-05-02 03:48:31,1367480911,1174.45299145,True
2013-05-02 03:50:31,1367481031,1290.52991453,True
2013-05-02 03:52:31,1367481151,1138.52991453,True
2013-05-02 03:54:31,1367481271,1211.26495726,True
